Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget,Per Student Budget,Spending Ranges (Per Student)
39,Gregory Roberts,M,9th,Huang High School,80,61,0,District,2917,1910635,655.00,$645-675
40,Matthew Mayer,M,9th,Huang High School,79,69,0,District,2917,1910635,655.00,$645-675
41,Jennifer Parks,F,11th,Huang High School,85,95,0,District,2917,1910635,655.00,$645-675
42,John Carlson,M,9th,Huang High School,65,89,0,District,2917,1910635,655.00,$645-675
43,Megan Roberts,F,9th,Huang High School,66,90,0,District,2917,1910635,655.00,$645-675
44,Debra Flores,F,10th,Huang High School,75,66,0,District,2917,1910635,655.00,$645-675
45,Heidi Jackson,F,11th,Huang High School,64,93,0,District,2917,1910635,655.00,$645-675
46,Denise Bradford,F,12th,Huang High School,73,59,0,District,2917,1910635,655.00,$645-675
47,Ellen Brown,F,11th,Huang High School,77,81,0,District,2917,1910635,655.00,$645-675
48,Amy Perkins,F,9th,Huang High School,76,66,0,District,2917,1910635,655.00,$645-675
49,Natalie Mitchell,F,10th,Huang High School,73,93,0,District,2917,1910635,655.00,$645-675
50,Tiffany Gutierrez,F,10th,Huang High School,82,95,0,District,2917,1910635,655.00,$645-675
51,Jennifer Hess,F,11th,Huang High School,91,56,0,District,2917,1910635,655.00,$645-675
52,Christine Fletcher,F,12th,Huang High School,69,78,0,District,2917,1910635,655.00,$645-675
53,Jon Smith,M,9th,Huang High School,96,69,0,District,2917,1910635,655.00,$645-675
54,Tracey Yates,F,9th,Huang High School,83,68,0,District,2917,1910635,655.00,$645-675
55,Jerry Gordon,M,12th,Huang High School,95,71,0,District,2917,1910635,655.00,$645-675
56,Michael Cox,M,11th,Huang High School,72,72,0,District,2917,1910635,655.00,$645-675
57,Madeline Snyder MD,F,9th,Huang High School,97,56,0,District,2917,1910635,655.00,$645-675
58,Allison King,F,11th,Huang High School,74,84,0,District,2917,1910635,655.00,$645-675
59,Theresa Meyer,F,9th,Huang High School,88,70,0,District,2917,1910635,655.00,$645-675
60,Jared Wood,M,9th,Huang High School,63,89,0,District,2917,1910635,655.00,$645-675
61,Eric Maynard,M,9th,Huang High School,64,95,0,District,2917,1910635,655.00,$645-675
62,Mark Owens,M,11th,Huang High School,74,65,0,District,2917,1910635,655.00,$645-675
63,Ronnie Conley,M,11th,Huang High School,77,61,0,District,2917,1910635,655.00,$645-675
64,Kimberly Davis,F,12th,Huang High School,87,57,0,District,2917,1910635,655.00,$645-675
65,Amy Mitchell,F,11th,Huang High School,74,60,0,District,2917,1910635,655.00,$645-675
66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93,0,District,2917,1910635,655.00,$645-675
67,Elizabeth Henderson,F,12th,Huang High School,70,60,0,District,2917,1910635,655.00,$645-675
68,James Lopez,M,12th,Huang High School,65,82,0,District,2917,1910635,655.00,$645-675
69,Michael Morgan,M,11th,Huang High School,75,89,0,District,2917,1910635,655.00,$645-675
70,Angela Francis,F,12th,Huang High School,70,60,0,District,2917,1910635,655.00,$645-675
71,Breanna Taylor,F,10th,Huang High School,93,68,0,District,2917,1910635,655.00,$645-675
72,Jason Johnson,M,12th,Huang High School,82,65,0,District,2917,1910635,655.00,$645-675
73,Kyle Martin,M,10th,Huang High School,72,94,0,District,2917,1910635,655.00,$645-675
74,Dr. Scott Gill,M,10th,Huang High School,85,85,0,District,2917,1910635,655.00,$645-675
75,Lisa Long,F,10th,Huang High School,87,62,0,District,2917,1910635,655.00,$645-675
76,Erin Liu,F,9th,Huang High School,78,76,0,District,2917,1910635,655.00,$645-675
77,Marcus Richards,M,12th,Huang High School,83,76,0,District,2917,1910635,655.00,$645-675
78,Jason Thompson,M,12th,Huang High School,99,57,0,District,2917,1910635,655.00,$645-675
79,Elizabeth Mckinney,F,9th,Huang High School,74,81,0,District,2917,1910635,655.00,$645-675
80,Jessica Bailey,F,10th,Huang High School,67,70,0,District,2917,1910635,655.00,$645-675
81,Lisa Frye,F,12th,Huang High School,94,73,0,District,2917,1910635,655.00,$645-675
82,Lindsey Baker,F,11th,Huang High School,81,57,0,District,2917,1910635,655.00,$645-675
83,Lisa Ramirez,F,12th,Huang High School,64,76,0,District,2917,1910635,655.00,$645-675
84,Joseph Butler,M,10th,Huang High School,77,63,0,District,2917,1910635,655.00,$645-675
85,Tina Lynch,F,10th,Huang High School,94,60,0,District,2917,1910635,655.00,$645-675
86,Leah Benitez,F,10th,Huang High School,93,84,0,District,2917,1910635,655.00,$645-675
87,Elizabeth Parker,F,10th,Huang High School,85,56,0,District,2917,1910635,655.00,$645-675
88,Melissa Hunter,F,10th,Huang High School,90,70,0,District,2917,1910635,655.00,$645-675
89,Miss Madison Everett,F,11th,Huang High School,70,78,0,District,2917,1910635,655.00,$645-675
90,Ronald Garcia,M,9th,Huang High School,99,86,0,District,2917,1910635,655.00,$645-675
91,Mark Cherry,M,10th,Huang High School,96,98,0,District,2917,1910635,655.00,$645-675
92,Ryan Stokes,M,9th,Huang High School,75,72,0,District,2917,1910635,655.00,$645-675
93,Isaiah Maldonado,M,10th,Huang High School,84,91,0,District,2917,1910635,655.00,$645-675
94,Micheal Dennis,M,12th,Huang High School,86,61,0,District,2917,1910635,655.00,$645-675
95,Kevin Martinez,M,11th,Huang High School,89,58,0,District,2917,1910635,655.00,$645-675
96,Jessica Smith,F,9th,Huang High School,77,72,0,District,2917,1910635,655.00,$645-675
97,Dawn Trujillo,F,11th,Huang High School,82,87,0,District,2917,1910635,655.00,$645-675
98,Virginia Ramirez MD,F,10th,Huang High School,99,89,0,District,2917,1910635,655.00,$645-675
99,Marc Hernandez,M,10th,Huang High School,87,63,0,District,2917,1910635,655.00,$645-675
100,Jose Gonzalez,M,12th,Huang High School,69,67,0,District,2917,1910635,655.00,$645-675
101,Jason Dennis,M,10th,Huang High School,72,57,0,District,2917,1910635,655.00,$645-675
102,Gary Morris,M,11th,Huang High School,74,58,0,District,2917,1910635,655.00,$645-675
103,William Mcdonald,M,12th,Huang High School,86,74,0,District,2917,1910635,655.00,$645-675
104,Michael Savage,M,9th,Huang High School,75,66,0,District,2917,1910635,655.00,$645-675
105,Alexis Todd,F,11th,Huang High School,82,95,0,District,2917,1910635,655.00,$645-675
106,David Hansen,M,10th,Huang High School,76,86,0,District,2917,1910635,655.00,$645-675
107,Steven Mendez,M,12th,Huang High School,68,88,0,District,2917,1910635,655.00,$645-675
108,Ryan Lynch,M,12th,Huang High School,77,67,0,District,2917,1910635,655.00,$645-675
109,Timothy Marks,M,9th,Huang High School,78,62,0,District,2917,1910635,655.00,$645-675
110,Alexander Johns,M,10th,Huang High School,67,77,0,District,2917,1910635,655.00,$645-675
111,Kenneth Chavez,M,9th,Huang High School,70,79,0,District,2917,1910635,655.00,$645-675
112,Dennis Williams,M,10th,Huang High School,88,67,0,District,2917,1910635,655.00,$645-675
113,Michael Roy,M,12th,Huang High School,85,73,0,District,2917,1910635,655.00,$645-675
114,Richard Ryan,M,12th,Huang High School,88,86,0,District,2917,1910635,655.00,$645-675
115,Matthew Reyes,M,12th,Huang High School,79,60,0,District,2917,1910635,655.00,$645-675
116,Stephanie Ward,F,11th,Huang High School,75,69,0,District,2917,1910635,655.00,$645-675
117,Christopher Tucker,M,10th,Huang High School,80,90,0,District,2917,1910635,655.00,$645-675
118,Daniel Jones,M,12th,Huang High School,66,68,0,District,2917,1910635,655.00,$645-675
119,Devin Craig,M,10th,Huang High School,65,80,0,District,2917,1910635,655.00,$645-675
120,Erin Prince,F,12th,Huang High School,88,81,0,District,2917,1910635,655.00,$645-675
121,Bernard Ortiz,M,11th,Huang High School,78,76,0,District,2917,1910635,655.00,$645-675
122,Nicole Miller,F,10th,Huang High School,98,57,0,District,2917,1910635,655.00,$645-675
123,Christopher Fritz,M,9th,Huang High School,88,77,0,District,2917,1910635,655.00,$645-675
124,Bonnie Mckinney,F,11th,Huang High School,63,65,0,District,2917,1910635,655.00,$645-675
125,Troy Nelson,M,11th,Huang High School,79,63,0,District,2917,1910635,655.00,$645-675
126,Jennifer Lee,F,12th,Huang High School,93,66,0,District,2917,1910635,655.00,$645-675
127,Ronald Ward,M,10th,Huang High School,74,89,0,District,2917,1910635,655.00,$645-675
128,Nathaniel Hampton,M,11th,Huang High School,70,81,0,District,2917,1910635,655.00,$645-675
129,Michael Travis,M,11th,Huang High School,65,79,0,District,2917,1910635,655.00,$645-675
130,James Taylor,M,9th,Huang High School,77,71,0,District,2917,1910635,655.00,$645-675
131,Thomas Strickland,M,9th,Huang High School,63,77,0,District,2917,1910635,655.00,$645-675
132,Brittany Jackson,F,9th,Huang High School,79,57,0,District,2917,1910635,655.00,$645-675
133,Marisa Lowe,F,9th,Huang High School,95,95,0,District,2917,1910635,655.00,$645-675
134,Nicole Thomas,F,9th,Huang High School,83,59,0,District,2917,1910635,655.00,$645-675
135,Matthew Rodriguez,M,12th,Huang High School,80,79,0,District,2917,1910635,655.00,$645-675
136,Kent Fernandez,M,12th,Huang High School,66,58,0,District,2917,1910635,655.00,$645-675
137,Michelle Martin,F,12th,Huang High School,86,92,0,District,2917,1910635,655.00,$645-675
138,John Sparks,M,9th,Huang High School,74,91,0,District,2917,1910635,655.00,$645-675
139,Ann Blake,F,11th,Huang High School,97,75,0,District,2917,1910635,655.00,$645-675
140,Melissa Miller,F,12th,Huang High School,76,67,0,District,2917,1910635,655.00,$645-675
141,Steven Houston,M,9th,Huang High School,99,71,0,District,2917,1910635,655.00,$645-675
142,Kristen Anderson,F,11th,Huang High School,78,76,0,District,2917,1910635,655.00,$645-675
143,Cory Jones,M,11th,Huang High School,82,73,0,District,2917,1910635,655.00,$645-675
144,Jennifer Mora,F,10th,Huang High School,98,73,0,District,2917,1910635,655.00,$645-675
145,Dennis Griffin,M,9th,Huang High School,78,71,0,District,2917,1910635,655.00,$645-675
146,Darryl Brown,M,10th,Huang High School,98,90,0,District,2917,1910635,655.00,$645-675
147,Martin Mosley,M,10th,Huang High School,90,67,0,District,2917,1910635,655.00,$645-675
148,Joyce Diaz,F,10th,Huang High School,85,58,0,District,2917,1910635,655.00,$645-675
149,Jeffrey Rose,M,12th,Huang High School,81,91,0,District,2917,1910635,655.00,$645-675
150,Jamie Moreno,F,9th,Huang High School,78,99,0,District,2917,1910635,655.00,$645-675
151,Catherine Williams,F,9th,Huang High School,66,56,0,District,2917,1910635,655.00,$645-675
152,Lauren Byrd,F,11th,Huang High School,66,92,0,District,2917,1910635,655.00,$645-675
153,Vanessa Frazier,F,10th,Huang High School,85,82,0,District,2917,1910635,655.00,$645-675
154,Stephen Bryant,M,11th,Huang High School,83,77,0,District,2917,1910635,655.00,$645-675
155,Lawrence Liu,M,12th,Huang High School,82,73,0,District,2917,1910635,655.00,$645-675
156,Joseph Larsen,M,9th,Huang High School,88,82,0,District,2917,1910635,655.00,$645-675
157,Susan Collier,F,11th,Huang High School,76,92,0,District,2917,1910635,655.00,$645-675
158,Meagan Jensen,F,9th,Huang High School,66,67,0,District,2917,1910635,655.00,$645-675
159,Julie Harper,F,12th,Huang High School,88,73,0,District,2917,1910635,655.00,$645-675
160,Meghan Carroll,F,12th,Huang High School,75,98,0,District,2917,1910635,655.00,$645-675
161,Wanda Horton,F,11th,Huang High School,68,88,0,District,2917,1910635,655.00,$645-675
162,Mary Campbell,F,10th,Huang High School,72,56,0,District,2917,1910635,655.00,$645-675
163,Jennifer Rodgers,F,11th,Huang High School,83,98,0,District,2917,1910635,655.00,$645-675
164,Heather Cooper,F,12th,Huang High School,85,61,0,District,2917,1910635,655.00,$645-675
165,Ryan Perez,M,11th,Huang High School,70,87,0,District,2917,1910635,655.00,$645-675
166,Ryan Cox,M,12th,Huang High School,95,72,0,District,2917,1910635,655.00,$645-675
167,Darren Zavala,M,10th,Huang High School,64,84,0,District,2917,1910635,655.00,$645-675
168,Joseph Morales III,M,10th,Huang High School,64,85,0,District,2917,1910635,655.00,$645-675
169,Aaron West,M,10th,Huang High School,98,67,0,District,2917,1910635,655.00,$645-675
170,James Combs,M,10th,Huang High School,65,82,0,District,2917,1910635,655.00,$645-675
171,Curtis Garner,M,10th,Huang High School,79,78,0,District,2917,1910635,655.00,$645-675
172,Sarah Miller,F,10th,Huang High School,94,71,0,District,2917,1910635,655.00,$645-675
173,Samantha Thomas,F,10th,Huang High School,92,62,0,District,2917,1910635,655.00,$645-675
174,Robert Atkins,M,9th,Huang High School,85,97,0,District,2917,1910635,655.00,$645-675
175,Alexis Crawford,M,10th,Huang High School,70,82,0,District,2917,1910635,655.00,$645-675
176,Ryan Maddox,M,11th,Huang High School,80,80,0,District,2917,1910635,655.00,$645-675
177,Jonathan Meyer,M,9th,Huang High School,65,79,0,District,2917,1910635,655.00,$645-675
178,Donna Wagner,F,10th,Huang High School,95,61,0,District,2917,1910635,655.00,$645-675
179,William Kennedy,M,11th,Huang High School,76,56,0,District,2917,1910635,655.00,$645-675
180,Kimberly Martinez,F,11th,Huang High School,84,83,0,District,2917,1910635,655.00,$645-675
181,Matthew Anderson,M,11th,Huang High School,92,99,0,District,2917,1910635,655.00,$645-675
182,Kari Miller,F,9th,Huang High School,88,55,0,District,2917,1910635,655.00,$645-675
183,Jenna Luna,F,9th,Huang High School,73,91,0,District,2917,1910635,655.00,$645-675
184,Justin Contreras,M,12th,Huang High School,89,63,0,District,2917,1910635,655.00,$645-675
185,Mary Fox,F,11th,Huang High School,94,92,0,District,2917,1910635,655.00,$645-675
186,Joseph Perkins,M,10th,Huang High School,96,76,0,District,2917,1910635,655.00,$645-675
187,Kelly Phillips,F,12th,Huang High School,78,90,0,District,2917,1910635,655.00,$645-675
188,Justin Thornton,M,11th,Huang High School,65,61,0,District,2917,1910635,655.00,$645-675
189,Joshua Barber,M,10th,Huang High School,77,61,0,District,2917,1910635,655.00,$645-675
190,Travis Jackson,M,11th,Huang High School,86,96,0,District,2917,1910635,655.00,$645-675
191,Jordan Beasley,F,10th,Huang High School,96,59,0,District,2917,1910635,655.00,$645-675
192,Kevin Allen,M,12th,Huang High School,68,63,0,District,2917,1910635,655.00,$645-675
193,Victoria Harris,F,11th,Huang High School,89,59,0,District,2917,1910635,655.00,$645-675
194,Victoria Joseph,F,12th,Huang High School,72,56,0,District,2917,1910635,655.00,$645-675
195,Brandy Marshall,F,11th,Huang High School,86,60,0,District,2917,1910635,655.00,$645-675
196,Ryan Jimenez,M,11th,Huang High School,63,89,0,District,2917,1910635,655.00,$645-675
197,Michael Chan,M,9th,Huang High School,63,69,0,District,2917,1910635,655.00,$645-675
198,Christopher Phillips,M,9th,Huang High School,86,55,0,District,2917,1910635,655.00,$645-675
199,Kevin Murphy,M,10th,Huang High School,85,99,0,District,2917,1910635,655.00,$645-675
200,Vanessa Harper,F,12th,Huang High School,85,85,0,District,2917,1910635,655.00,$645-675
201,James Ferguson,M,9th,Huang High School,96,66,0,District,2917,1910635,655.00,$645-675
202,Carol Schroeder,F,12th,Huang High School,83,61,0,District,2917,1910635,655.00,$645-675
203,Jerry Phillips,M,10th,Huang High School,82,72,0,District,2917,1910635,655.00,$645-675
204,Kristin Wade,F,9th,Huang High School,71,56,0,District,2917,1910635,655.00,$645-675
205,Jessica Warner,F,11th,Huang High School,94,83,0,District,2917,1910635,655.00,$645-675
206,Dorothy Burke,F,11th,Huang High School,91,92,0,District,2917,1910635,655.00,$645-675
207,Bethany Walter,F,9th,Huang High School,88,76,0,District,2917,1910635,655.00,$645-675
208,Melissa Avery,F,9th,Huang High School,83,86,0,District,2917,1910635,655.00,$645-675
209,Daniel Sutton,M,11th,Huang High School,86,96,0,District,2917,1910635,655.00,$645-675
210,Ryan Johnson,M,9th,Huang High School,63,79,0,District,2917,1910635,655.00,$645-675
211,Timothy Quinn,M,10th,Huang High School,83,76,0,District,2917,1910635,655.00,$645-675
212,Zachary Allen,M,10th,Huang High School,64,87,0,District,2917,1910635,655.00,$645-675
213,Lauren Schmitt,F,12th,Huang High School,71,61,0,District,2917,1910635,655.00,$645-675
214,Stephanie Armstrong,F,11th,Huang High School,70,66,0,District,2917,1910635,655.00,$645-675
215,Ruben Rivera,M,9th,Huang High School,65,79,0,District,2917,1910635,655.00,$645-675
216,Patricia Petty,F,12th,Huang High School,79,98,0,District,2917,1910635,655.00,$645-675
217,Joseph Jacobs,M,11th,Huang High School,96,68,0,District,2917,1910635,655.00,$645-675
218,Bianca Wilson,F,11th,Huang High School,66,62,0,District,2917,1910635,655.00,$645-675
219,Donald Perez,M,9th,Huang High School,87,79,0,District,2917,1910635,655.00,$645-675
220,Curtis Gomez,M,9th,Huang High School,77,77,0,District,2917,1910635,655.00,$645-675
221,Courtney Brown,F,9th,Huang High School,90,88,0,District,2917,1910635,655.00,$645-675
222,Nicole Randall,F,9th,Huang High School,94,78,0,District,2917,1910635,655.00,$645-675
223,Steven Lambert,M,11th,Huang High School,64,56,0,District,2917,1910635,655.00,$645-675
224,Anthony Alvarez,M,10th,Huang High School,93,90,0,District,2917,1910635,655.00,$645-675
225,Shawn Farrell,M,10th,Huang High School,89,87,0,District,2917,1910635,655.00,$645-675
226,Jesus Schmidt,M,9th,Huang High School,80,76,0,District,2917,1910635,655.00,$645-675
227,Laura Wright,F,12th,Huang High School,89,69,0,District,2917,1910635,655.00,$645-675
228,Steven Smith,M,11th,Huang High School,66,65,0,District,2917,1910635,655.00,$645-675
229,Norman Thompson,M,9th,Huang High School,99,78,0,District,2917,1910635,655.00,$645-675
230,Anthony Wright,M,10th,Huang High School,76,64,0,District,2917,1910635,655.00,$645-675
231,Kayla Watts,F,11th,Huang High School,74,89,0,District,2917,1910635,655.00,$645-675
232,Aimee Johnson,F,9th,Huang High School,97,55,0,District,2917,1910635,655.00,$645-675
233,Heidi Scott,F,12th,Huang High School,77,98,0,District,2917,1910635,655.00,$645-675
234,Anthony Williams,M,10th,Huang High School,78,93,0,District,2917,1910635,655.00,$645-675
235,Sarah Hill,F,12th,Huang High School,88,97,0,District,2917,1910635,655.00,$645-675
236,Kim Wang,F,9th,Huang High School,90,71,0,District,2917,1910635,655.00,$645-675
237,Beth Manning,F,11th,Huang High School,88,92,0,District,2917,1910635,655.00,$645-675
238,Ryan Hanson,M,12th,Huang High School,87,83,0,District,2917,1910635,655.00,$645-675
239,James Wood,M,9th,Huang High School,70,81,0,District,2917,1910635,655.00,$645-675
240,Corey Greene,M,10th,Huang High School,70,94,0,District,2917,1910635,655.00,$645-675
241,John Carter,M,11th,Huang High School,95,83,0,District,2917,1910635,655.00,$645-675
242,Beth Garza,F,11th,Huang High School,75,92,0,District,2917,1910635,655.00,$645-675
243,Karen Jones,F,9th,Huang High School,78,96,0,District,2917,1910635,655.00,$645-675
244,Stephanie Poole,F,10th,Huang High School,95,59,0,District,2917,1910635,655.00,$645-675
245,Lisa Brown,F,9th,Huang High School,99,72,0,District,2917,1910635,655.00,$645-675
246,Paul Scott,M,10th,Huang High School,64,78,0,District,2917,1910635,655.00,$645-675
247,Evelyn Buck,F,10th,Huang High School,68,60,0,District,2917,1910635,655.00,$645-675
248,Terry Harrell,M,9th,Huang High School,86,69,0,District,2917,1910635,655.00,$645-675
249,Leah Skinner,F,11th,Huang High School,70,79,0,District,2917,1910635,655.00,$645-675
250,Anthony Mercado,M,11th,Huang High School,95,97,0,District,2917,1910635,655.00,$645-675
251,Walter Kelly,M,9th,Huang High School,80,78,0,District,2917,1910635,655.00,$645-675
252,Lori Evans,F,10th,Huang High School,99,66,0,District,2917,1910635,655.00,$645-675
253,Ashley Jones,F,12th,Huang High School,96,72,0,District,2917,1910635,655.00,$645-675
254,Amber Soto,F,9th,Huang High School,82,60,0,District,2917,1910635,655.00,$645-675
255,Patrick Phillips,M,10th,Huang High School,64,62,0,District,2917,1910635,655.00,$645-675
256,Linda Curry,F,11th,Huang High School,74,76,0,District,2917,1910635,655.00,$645-675
257,Alexander Obrien,M,10th,Huang High School,68,90,0,District,2917,1910635,655.00,$645-675
258,Vincent Garza,M,10th,Huang High School,97,61,0,District,2917,1910635,655.00,$645-675
259,Terry Marsh,M,11th,Huang High School,99,69,0,District,2917,1910635,655.00,$645-675
260,Angela Perkins DVM,F,11th,Huang High School,76,56,0,District,2917,1910635,655.00,$645-675
261,Peter Hampton,M,9th,Huang High School,83,97,0,District,2917,1910635,655.00,$645-675
262,David Cross,M,11th,Huang High School,68,61,0,District,2917,1910635,655.00,$645-675
263,Clinton Ortega,M,10th,Huang High School,93,62,0,District,2917,1910635,655.00,$645-675
264,Jamie Escobar,F,10th,Huang High School,91,91,0,District,2917,1910635,655.00,$645-675
265,Sandra Mason,F,12th,Huang High School,76,83,0,District,2917,1910635,655.00,$645-675
266,Craig Cole,M,12th,Huang High School,83,92,0,District,2917,1910635,655.00,$645-675
267,Lisa Warren,F,12th,Huang High School,70,81,0,District,2917,1910635,655.00,$645-675
268,Maria Howard,F,9th,Huang High School,74,91,0,District,2917,1910635,655.00,$645-675
269,Michael Porter,M,11th,Huang High School,86,68,0,District,2917,1910635,655.00,$645-675
270,John Turner,M,11th,Huang High School,78,99,0,District,2917,1910635,655.00,$645-675
271,Timothy Wang,M,12th,Huang High School,93,75,0,District,2917,1910635,655.00,$645-675
272,Amanda Taylor,F,9th,Huang High School,73,58,0,District,2917,1910635,655.00,$645-675
273,Karen Mckenzie,F,9th,Huang High School,82,64,0,District,2917,1910635,655.00,$645-675
274,Brandon Miles,M,11th,Huang High School,98,76,0,District,2917,1910635,655.00,$645-675
275,Christina Whitaker,F,12th,Huang High School,86,89,0,District,2917,1910635,655.00,$645-675
276,Nicole Peterson,F,9th,Huang High School,78,98,0,District,2917,1910635,655.00,$645-675
277,Ashley Moore,F,9th,Huang High School,67,74,0,District,2917,1910635,655.00,$645-675
278,Todd Carrillo,M,10th,Huang High School,80,99,0,District,2917,1910635,655.00,$645-675
279,Robert Williams,M,10th,Huang High School,63,68,0,District,2917,1910635,655.00,$645-675
280,Ashley Jones,F,9th,Huang High School,92,72,0,District,2917,1910635,655.00,$645-675
281,Vanessa Parker,F,9th,Huang High School,67,78,0,District,2917,1910635,655.00,$645-675
282,Robert Carlson,M,12th,Huang High School,73,82,0,District,2917,1910635,655.00,$645-675
283,Jared Lewis,M,10th,Huang High School,77,56,0,District,2917,1910635,655.00,$645-675
284,Christopher Hernandez,M,10th,Huang High School,92,64,0,District,2917,1910635,655.00,$645-675
285,Kimberly Harris,F,9th,Huang High School,66,59,0,District,2917,1910635,655.00,$645-675
286,Katrina Hill,F,10th,Huang High School,73,73,0,District,2917,1910635,655.00,$645-675
287,Heather Lee,F,9th,Huang High School,71,69,0,District,2917,1910635,655.00,$645-675
288,Donald Harmon,M,11th,Huang High School,63,67,0,District,2917,1910635,655.00,$645-675
289,Elizabeth Sanders,F,10th,Huang High School,82,64,0,District,2917,1910635,655.00,$645-675
290,Richard Ramsey,M,12th,Huang High School,80,60,0,District,2917,1910635,655.00,$645-675
291,Carmen Johnson,F,12th,Huang High School,89,79,0,District,2917,1910635,655.00,$645-675
292,Elaine Osborne,F,10th,Huang High School,91,69,0,District,2917,1910635,655.00,$645-675
293,Kent Burns,M,9th,Huang High School,81,72,0,District,2917,1910635,655.00,$645-675
294,Meagan Smith,F,11th,Huang High School,67,87,0,District,2917,1910635,655.00,$645-675
295,Craig Hahn,M,9th,Huang High School,92,73,0,District,2917,1910635,655.00,$645-675
296,Jeremy Wu,M,11th,Huang High School,72,81,0,District,2917,1910635,655.00,$645-675
297,Aaron Rodriguez,M,11th,Huang High School,75,78,0,District,2917,1910635,655.00,$645-675
298,Matthew Taylor,M,10th,Huang High School,64,63,0,District,2917,1910635,655.00,$645-675
299,Diana Evans,F,11th,Huang High School,96,94,0,District,2917,1910635,655.00,$645-675
300,Michele Pearson,F,12th,Huang High School,89,98,0,District,2917,1910635,655.00,$645-675
301,Erik Wagner,M,12th,Huang High School,92,61,0,District,2917,1910635,655.00,$645-675
302,Maria Welch,F,12th,Huang High School,74,97,0,District,2917,1910635,655.00,$645-675
303,Debra Martin,F,12th,Huang High School,68,55,0,District,2917,1910635,655.00,$645-675
304,Devon Conner,M,9th,Huang High School,91,89,0,District,2917,1910635,655.00,$645-675
